id,in_degree,out_degree
6,44,40
2,41,45
5,3,3
1,226,215
15,13,15
4,54,63
3,21,0
13,191,210
16,1,0
10,5,8
7,216,232
21,26,22
20,10,0
8,3,1
17,19,26
23,26,18
25,113,0
26,11,12
28,11,7
29,35,33
31,2,2
32,6,6
34,3,3
35,535,763
36,33,35
37,12,13
44,3,2
39,25,25
45,11,11
19,10,12
46,1,1
47,2,2
51,29,30
52,1,1
53,2,2
54,7,7
41,95,100
55,1,1
57,80,59
61,9,5
65,1,1
56,6,7
66,1,1
69,9,7
70,6,6
71,1,1
72,11,11
74,1,1
75,10,7
68,5,5
64,69,78
76,3,3
77,14,21
78,10,8
60,66,63
79,1,1
80,17,17
81,9,6
62,52,14
83,1,1
104,54,56
86,1,1
87,2,2
89,2,2
94,1,1
95,6,6
96,37,42
97,4,4
99,1,1
88,6,7
101,7,5
100,8,12
103,1,0
105,2,1
106,1,1
107,2,2
108,6,4
109,6,5
110,15,12
111,6,5
112,14,26
115,24,32
114,9,6
119,3,3
122,1,2
127,3,2
129,6,2
116,1,1
131,1,0
132,32,32
133,2,2
113,36,42
125,8,8
135,93,92
134,12,11
137,2,2
138,2,2
140,1,1
141,21,21
139,3,4
142,11,11
143,20,22
144,41,43
145,1,1
146,15,15
147,3,2
148,5,5
93,13,12
149,28,36
150,3,5
152,10,3
153,6,4
154,1,1
155,2,3
156,7,7
157,2,2
158,3,1
160,7,7
161,3,3
162,2,2
163,8,9
165,2,1
166,13,13
167,11,10
168,1,1
169,2,1
170,1,1
171,50,53
172,1,1
173,4,3
174,4,4
175,1,1
176,3,4
177,9,10
178,34,37
179,7,2
180,10,9
181,6,5
159,24,24
182,1,1
183,3,3
184,19,23
185,2,2
186,12,11
187,1,1
33,32,32
188,2,2
189,3,2
190,1,1
191,3,2
192,17,18
193,2,2
194,3,3
195,1,1
196,1,1
198,50,45
199,4,6
200,7,8
201,4,2
202,115,127
203,9,10
204,31,24
205,1,0
206,15,15
207,7,6
209,30,27
210,1,1
120,6,5
211,2,1
212,6,6
213,1,1
214,14,12
215,53,54
216,9,9
217,3,3
218,2,1
219,18,18
220,1,0
223,11,0
224,7,8
225,3,6
227,6,6
228,13,14
230,32,5
231,4,4
232,1,1
233,3,1
208,2,2
234,3,2
235,13,9
222,13,12
236,2,3
237,1,1
238,6,8
239,8,11
240,4,3
241,5,7
242,16,14
244,5,4
164,4,5
245,11,4
246,5,3
247,1,1
248,2,3
250,3,2
251,9,8
249,20,20
243,9,12
252,1,1
253,0,1
255,1,2
256,33,32
257,18,93
258,2,2
259,2,3
260,3,0
261,8,7
262,7,6
263,2,2
264,2,0
265,5,3
266,17,18
267,1,1
268,5,5
229,4,3
221,8,8
269,5,4
271,2,2
272,12,9
273,25,27
274,21,17
275,2,1
276,6,5
270,37,47
277,2,1
279,2,1
278,4,3
280,58,59
281,1,0
282,6,5
283,15,13
284,8,10
285,6,6
286,2,2
287,1,1
288,7,7
290,1,1
291,1,1
292,2,1
293,6,4
294,1,1
295,21,24
296,6,1
297,3,2
298,10,8
299,2,2
301,4,4
302,1,0
303,1,1
304,100,104
254,4,5
305,1,1
306,1,1
307,2,1
308,13,11
309,34,45
310,7,4
311,1,1
312,11,12
314,2,2
313,2,3
315,2,0
316,2,2
317,4,4
318,4,6
319,8,8
320,5,5
322,8,11
323,1,1
324,5,5
325,11,12
326,1,1
321,6,5
327,1,1
328,3,1
329,1,1
334,1,0
338,1,0
345,4,4
346,22,25
289,1,1
347,8,4
349,1,1
340,6,5
336,1,0
350,28,27
352,1,2
353,85,86
354,1,1
355,1,1
356,4,4
357,4,3
359,12,11
339,2,3
360,2,1
366,5,7
367,1,1
368,1,1
358,2,2
370,1,1
371,1,2
372,6,6
363,35,35
375,3,2
377,3,2
374,11,10
378,10,8
379,1,1
380,4,3
382,1,1
383,18,16
384,12,12
385,1,1
386,11,10
348,4,3
387,18,17
388,1,1
389,2,2
390,9,10
391,1,1
392,3,2
330,9,7
351,3,2
393,11,12
342,16,17
395,11,23
396,12,11
397,1,5
399,18,16
400,1,1
401,8,8
402,8,8
403,1,1
404,6,6
405,19,19
406,3,3
407,2,0
408,14,11
409,3,3
410,5,4
411,3,3
412,10,8
414,1,1
415,20,18
418,14,13
300,3,3
421,5,6
423,7,6
333,1,1
341,1,0
427,11,16
428,4,2
429,1,1
332,2,3
394,12,11
430,1,1
432,2,3
433,5,5
434,1,1
435,2,2
436,13,13
437,3,1
438,2,2
439,2,6
441,8,8
442,1,1
443,13,16
440,2,2
444,1,2
445,1,1
446,19,20
365,3,2
448,4,3
449,4,2
431,2,1
450,1,1
451,2,2
452,21,21
453,3,3
454,3,3
455,10,8
456,1,1
457,1,2
416,16,16
458,2,2
459,2,4
460,2,5
464,4,5
465,14,11
466,2,2
467,4,3
468,59,62
463,5,4
469,14,15
462,15,13
470,2,2
471,1,1
472,15,4
473,1,1
369,1,0
425,25,31
417,7,8
475,9,9
476,16,16
197,3,0
477,3,2
478,3,2
424,3,3
479,5,6
376,1,0
373,1,0
420,1,0
480,15,16
398,1,1
481,37,36
482,1,1
483,1,0
484,22,26
485,1,1
486,4,4
487,2,0
488,9,9
489,10,10
490,2,3
492,53,50
493,17,18
494,8,9
447,3,3
495,11,13
496,3,4
497,4,3
499,6,6
500,5,7
501,4,4
502,12,10
491,18,19
503,2,2
504,1,0
505,1,1
506,2,4
498,2,3
507,3,4
331,2,1
508,4,4
509,3,4
510,2,2
511,1,1
512,4,3
513,2,2
514,5,5
515,2,2
516,5,5
517,3,3
422,1,0
518,5,5
337,1,0
519,1,1
520,18,19
381,1,0
521,10,10
362,1,0
522,34,34
523,60,45
524,1,1
364,1,0
413,1,0
525,2,2
361,47,80
526,4,4
527,2,2
529,1,1
530,11,10
531,1,1
532,3,4
533,13,15
534,10,8
535,27,16
536,4,4
537,54,56
538,9,8
539,18,19
540,43,47
541,1,1
419,7,7
542,3,3
335,1,0
543,1,1
544,2,2
545,79,23
546,144,167
547,15,17
548,5,3
549,2,2
426,1,0
550,44,51
552,1,1
553,2,1
554,9,8
555,1,2
556,2,1
557,3,3
558,3,2
559,3,3
560,2,2
561,10,8
562,2,2
563,8,9
564,5,5
565,1,1
566,9,8
551,2,0
567,3,3
569,2,3
570,18,19
571,6,5
572,2,2
573,5,5
575,1,1
474,1,1
577,8,7
578,9,9
528,1,1
580,1,1
581,1,2
582,2,1
583,4,3
584,1,1
585,9,10
586,4,4
587,5,5
589,2,2
590,6,1
592,55,56
579,15,13
343,1,0
594,4,2
595,2,1
596,1,1
597,3,2
588,2,2
598,9,8
599,1,1
600,1,1
601,1,1
602,1,1
603,1,1
604,1,1
591,4,4
605,4,4
606,15,16
607,1,1
608,8,8
609,1,1
610,6,6
611,1,1
612,1,1
613,1,1
614,2,2
615,1,1
617,3,4
618,1,1
619,2,2
620,3,3
621,9,9
622,1,1
623,3,3
616,6,7
593,3,4
624,1,1
625,17,21
626,6,9
628,16,14
629,2,2
630,28,28
631,1,1
627,4,4
632,22,21
633,8,7
634,33,34
635,29,31
636,1,1
637,1,2
638,2,2
639,2,2
344,1,0
642,9,8
643,4,2
644,11,13
647,29,27
648,1,1
649,2,2
650,9,10
651,10,9
652,3,3
653,4,4
654,16,14
655,2,3
656,3,3
658,5,6
660,1,2
661,3,4
662,1,1
663,2,2
664,38,40
574,2,1
659,1,2
665,2,2
666,4,4
667,8,8
668,1,1
670,2,2
671,1,1
672,3,1
674,2,2
675,1,1
676,2,2
677,2,2
678,7,8
679,1,1
680,8,8
681,3,3
682,1,0
669,2,0
684,1,1
685,2,3
686,2,2
687,47,46
688,5,6
689,6,6
690,2,1
691,5,7
692,2,0
693,1,1
694,1,0
695,2,1
696,2,2
683,1,1
646,1,1
698,1,1
697,4,4
699,2,2
700,12,13
701,5,6
702,2,2
703,3,2
641,5,6
705,16,15
706,1,1
708,3,3
707,6,6
704,1,1
709,4,3
710,23,28
711,1,1
712,1,1
714,17,17
717,1,1
718,3,4
719,1,1
720,2,2
721,1,1
722,6,7
723,1,1
724,2,3
725,25,25
726,7,6
727,2,2
640,8,7
728,2,2
730,3,0
729,54,54
715,3,2
731,1,1
732,36,36
733,9,8
734,3,3
735,9,7
736,1,1
737,1,1
738,1,1
673,5,4
716,5,4
739,1,1
740,1,1
741,2,2
742,17,16
743,3,3
744,4,3
745,1,1
746,1,1
747,1,1
748,2,2
749,1,1
750,1,0
751,2,2
576,5,6
752,1,1
753,3,4
754,1,1
755,7,7
756,2,0
757,11,10
758,1,1
759,1,1
761,1,1
763,3,1
657,1,1
764,2,2
765,1,1
766,1,1
767,12,12
768,7,6
769,4,4
770,23,23
772,1,1
773,2,2
774,2,1
775,56,58
776,3,3
777,16,10
760,9,7
778,2,2
779,10,12
780,14,12
781,11,9
782,3,2
783,1,1
784,3,4
785,1,1
786,8,9
787,3,3
788,4,4
789,1,1
790,2,2
791,5,5
792,2,3
793,3,3
794,3,3
795,5,5
796,1,1
797,1,1
798,2,3
799,3,4
800,1,1
801,9,10
802,7,7
803,1,1
804,6,10
805,4,2
806,1,0
808,1,1
762,3,3
809,1,1
810,1,1
811,3,3
812,4,4
813,1,1
814,1,1
815,2,2
816,1,1
817,2,2
818,3,3
819,2,1
820,7,5
821,1,1
823,19,20
9,1,1
824,8,8
826,2,2
827,9,6
828,1,2
829,2,0
830,3,3
831,1,0
833,2,2
834,3,0
835,4,4
836,1,1
837,2,2
838,8,9
839,2,2
840,1,0
832,92,77
841,3,4
842,3,4
843,1,1
844,1,2
845,2,2
846,7,7
847,5,5
848,1,1
849,2,2
850,2,1
851,4,5
852,1,1
853,8,8
854,2,1
855,1,1
856,14,14
857,2,2
858,1,0
859,1,1
860,1,1
861,9,4
862,11,10
863,2,2
864,3,3
771,1,0
865,2,1
866,4,4
867,3,2
868,1,1
869,2,1
870,6,9
871,3,1
872,4,3
873,2,2
874,2,2
875,5,5
876,1,2
877,2,2
878,1,1
879,2,2
880,2,2
883,1,1
882,53,56
884,1,1
886,2,2
887,1,1
888,1,1
890,1,0
891,2,2
892,6,7
893,1,1
822,4,0
894,13,12
895,1,0
896,7,0
897,1,2
898,2,2
899,3,4
900,12,12
901,1,1
902,4,2
903,5,6
904,6,8
906,9,7
907,6,7
908,54,44
910,3,2
911,2,4
912,2,3
913,4,4
909,1,1
914,1,1
915,3,3
916,1,1
917,10,10
918,1,1
919,1,1
920,9,9
921,12,12
922,9,8
924,1,1
925,21,21
926,3,3
927,3,3
928,7,5
929,14,9
930,2,1
931,6,5
933,1,1
934,2,2
936,1,0
937,57,56
885,6,6
938,2,1
923,31,31
939,2,2
940,2,2
942,2,1
943,7,7
944,1,1
946,2,2
947,1,1
889,1,2
941,2,3
948,4,4
949,1,0
950,4,4
951,1,1
952,1,1
954,3,2
932,1,2
955,1,1
956,1,1
957,3,2
959,3,2
960,2,2
961,4,4
963,6,6
964,1,1
966,1,1
967,10,10
968,1,2
935,7,6
965,1,0
969,1,1
825,1,1
970,1,1
971,1,0
972,6,7
973,2,2
974,1,1
975,5,4
976,1,1
977,2,2
953,7,8
978,16,14
979,1,1
980,1,1
981,2,2
982,5,5
983,1,1
984,5,5
985,1,1
986,2,2
987,2,2
988,12,13
989,1,1
990,1,1
991,2,0
993,1,1
994,2,3
995,4,2
905,264,264
996,1,1
997,3,2
999,1,1
1000,1,1
1001,13,10
1002,1,1
1003,1,1
1004,2,1
998,1,0
1006,2,2
1007,1,1
1008,6,7
1009,3,3
1010,5,4
1011,3,3
1012,2,1
1013,11,9
1015,1,1
1016,1,1
1017,1,1
807,1,1
1018,179,203
1019,3,6
1020,4,4
1021,2,3
1022,1,2
1023,2,1
1024,2,2
1025,2,2
1026,10,9
1027,1,1
1028,13,11
1029,1,1
1030,1,2
1031,1,1
1032,1,1
1033,1,1
1034,11,11
1035,1,0
1036,2,3
1037,5,4
1038,1,0
1039,1,1
1005,13,11
1040,2,5
1041,1,0
1042,2,2
962,11,10
1044,13,13
1045,2,2
1046,1,3
1047,1,1
1048,4,4
1049,1,1
1050,3,3
1051,2,2
1052,8,54
1053,46,47
1054,2,2
1055,2,1
1056,2,2
1057,2,2
1014,3,3
1043,15,16
1058,1,1
1059,1,1
1060,1,2
1061,1,1
1062,6,5
1063,3,3
958,4,4
1065,6,4
1066,4,4
992,1,1
1068,4,2
1069,2,1
1070,1,1
1071,1,1
1073,5,5
1074,4,4
1075,1,1
1076,2,0
1077,1,1
1078,11,11
1079,1,1
1080,1,1
1081,1,1
1082,1,1
1083,1,1
1084,4,3
1085,1,1
1086,1,1
1087,1,1
1088,1,1
1089,1,1
1072,0,1
1090,4,4
1091,1,0
1092,12,22
1093,1,1
1094,29,31
1095,4,8
1096,3,3
1097,1,1
1100,13,12
1098,12,11
881,1,1
1099,2,2
1101,1,1
1102,1,1
1103,1,1
1104,5,6
1105,2,3
1106,2,2
1107,6,7
1108,1,1
461,1,1
1109,1,1
1110,2,2
1111,1,1
1112,2,3
1113,5,5
1114,2,2
1116,2,0
1117,1,1
1118,1,1
1119,6,5
1120,1,1
1121,2,2
1122,1,1
1123,1,0
1124,1,1
1125,1,1
1126,1,1
1127,2,3
1128,7,7
1129,3,3
1130,2,4
1132,2,2
1133,3,4
1134,3,3
1136,1,0
1137,1,0
1138,1,0
1139,6,5
1140,4,0
1141,2,0
1142,2,0
1143,6,4
1144,2,0
1145,6,2
1146,1,1
1147,2,3
1135,1,1
1148,1,0
1149,1,1
1150,1,1
1151,1,0
1152,1,1
1067,2,2
1153,1,1
945,2,2
1154,17,2
1155,1,0
1156,1,1
1157,1,1
1158,1,1
1159,6,5
1160,1,1
1161,1,1
1162,68,70
1163,1,1
1164,2,2
1165,3,3
1166,4,4
1167,1,1
1168,3,3
1170,2,1
1171,1,1
1172,1,0
1173,1,0
1174,3,3
1175,1,1
1176,3,4
1177,1,1
1178,1,0
1179,2,3
1180,1,2
1181,2,2
1182,1,1
1169,1,1
1184,1,0
1185,39,31
1186,2,2
1187,2,2
1188,1,1
1189,1,1
1190,3,2
1191,3,3
1192,3,4
1193,1,2
1194,1,1
1195,1,1
1196,3,2
1197,2,1
1183,2,2
1199,2,2
1200,5,5
1201,58,69
1202,3,2
1204,14,15
1205,1,2
1206,2,1
1207,13,12
1208,1,1
1209,1,2
1210,1,1
1211,1,0
1212,1,1
1213,2,1
1214,1,2
1215,1,1
1216,1,1
1217,81,79
1218,2,1
1219,3,3
1220,1,2
1221,1,1
1222,12,12
1223,2,2
1224,1,1
1225,2,2
1226,5,5
1227,5,4
1228,1,1
1198,10,10
1229,2,2
1230,3,2
1231,3,3
1232,1,1
1233,1,1
1234,1,1
1235,1,1
1237,2,3
1238,2,0
1239,7,9
1240,1,1
1241,2,2
1242,3,3
1243,5,5
1244,6,5
1245,36,36
1246,1,0
1247,2,2
1248,1,1
1249,2,2
1250,1,1
1252,12,13
1251,2,2
1253,2,2
1236,2,2
1254,1,1
1255,1,1
1256,1,1
1257,18,14
1258,3,4
1259,1,1
1260,3,3
1261,1,1
1262,3,3
1263,3,3
1264,2,2
1265,1,1
1266,2,2
1269,4,3
1270,3,3
1271,18,21
1272,14,11
1273,1,1
1064,4,4
1274,1,1
1268,15,13
1275,5,5
1276,1,1
1277,11,8
1278,1,1
1279,2,1
1280,1,1
1281,55,56
1282,2,2
1283,1,1
1284,1,1
713,1,0
1285,1,1
1287,1,0
1131,2,2
1288,2,2
1289,11,11
1290,11,11
1291,2,2
1267,19,20
1292,5,5
1293,2,2
1294,1,0
1295,7,6
1296,2,1
1297,1,0
1298,1,1
1299,3,3
1300,2,2
1301,4,4
1302,8,9
1304,1,1
1305,1,1
1306,1,1
1307,2,2
1308,3,0
1309,1,1
1310,3,4
1311,1,1
1312,12,12
1286,4,5
1303,1,1
1313,1,1
1314,1,0
1315,5,6
1316,51,49
1317,110,115
1318,23,32
1319,5,5
1320,2,3
1321,1,1
1322,9,8
1323,1,1
1324,2,2
1325,4,5
1326,1,1
1328,5,5
1329,1,1
1327,3,0
1330,1,1
1331,16,2
1332,9,7
1333,1,1
1115,2,2
1335,1,0
1336,1,1
1337,2,2
1334,164,164
1338,3,3
1340,1,7
1341,1,1
1342,2,2
1343,1,1
1344,2,2
1345,8,4
1346,2,2
1347,1,1
1348,34,35
1349,3,3
1350,1,1
1351,1,1
1352,118,154
1353,11,12
1354,5,6
1355,1,1
1356,2,2
1357,5,4
1358,4,3
1359,2,2
1360,1,1
1361,1,0
1362,2,3
1363,44,59
1364,1,1
1365,1,1
1366,44,40
1367,1,0
1368,20,17
1369,3,3
1370,4,4
1371,1,2
1372,1,1
1373,1,1
1374,1,1
1377,13,13
1378,1,1
1379,6,5
1380,1,1
1381,1,1
1382,1,1
1383,96,66
1384,7,6
1385,2,2
1387,1,0
1388,1,1
1390,1,1
1391,2,2
1393,4,0
1392,2,1
1394,14,12
1395,1,0
1397,1,1
1399,1,1
1396,118,162
1389,2,3
1400,14,15
1401,3,4
1402,4,4
1403,21,21
1375,5,5
1404,3,3
1405,1,1
1406,4,4
1407,1,1
1408,1,1
1409,1,1
1410,2,2
1411,2,2
1412,20,21
1413,5,5
1414,1,0
1415,2,2
1376,7,12
1416,1,1
1417,3,4
1418,1,1
1419,1,1
1420,2,2
1421,1,2
1422,2,4
1423,1,1
1424,1,1
1425,1,1
1426,3,3
1427,1,1
1428,1,0
1429,1,1
1430,1,1
1431,1,1
1432,2,2
1433,1,1
1434,1,1
1435,1,1
1436,4,3
1439,5,4
1440,1,0
1441,2,2
1442,2,3
1438,3,4
1203,1,1
1444,2,2
1445,1,0
1443,3,2
1446,2,1
1447,4,4
1386,134,172
1448,1,1
1449,1,1
1450,1,0
1451,8,7
1452,1,1
1453,11,7
1454,1,1
1455,1,1
1456,3,4
1457,2,2
1458,4,4
1459,1,0
1460,1,0
1461,2,2
1462,3,3
1464,7,4
1465,5,5
1466,1,1
1467,1,1
1468,2,2
1470,1,1
1471,7,7
1472,1,1
1473,18,22
1474,1,1
1475,3,0
1476,2,1
1477,9,8
1463,4,4
1478,16,23
1479,2,2
1480,3,3
1481,1,1
1482,5,5
1483,1,1
1484,1,1
1486,5,5
1488,1,1
1489,1,0
1490,11,12
1491,1,1
1493,1,1
1494,1,1
1437,9,10
1492,3,3
1495,1,1
1496,1,2
1497,1,0
1498,1,0
1500,2,2
1487,28,32
1501,1,0
1502,30,32
1503,1,0
1505,1,0
1499,31,36
1506,2,2
1507,3,3
1508,28,26
1509,1,0
1510,5,2
1504,3,2
1511,2,0
1513,3,2
1514,1,1
1512,27,30
1469,4,4
1517,7,8
1518,3,0
1519,2,2
1520,4,6
1521,5,5
1522,2,2
1523,1,0
1524,2,2
1525,7,8
1526,6,7
1516,1,1
1527,6,6
1528,27,27
1529,37,38
1530,1,1
1531,1,2
1532,1,0
1533,2,2
1534,1,0
1535,5,2
1536,1,1
1537,1,1
1538,1,1
1539,16,16
1540,1,0
1541,6,9
1542,2,2
1543,51,45
1544,5,5
1545,1,0
1546,4,5
1547,1,1
1548,18,18
1549,1,1
1550,4,4
1551,1,1
1552,1,1
1553,1,1
1554,4,0
1555,65,67
1556,14,14
1557,16,16
1558,1,0
1559,1,1
1560,1,1
1561,1,0
1562,30,30
1564,1,1
1568,14,19
1569,1,1
1570,1,2
1571,1,1
1567,0,1
1572,1,1
1573,2,1
1575,2,2
1566,98,94
1577,1,0
1578,1,0
1579,3,2
1580,1,1
1574,3,3
1581,1,1
